Notes,Year,Year Code,Sex,Sex Code,Race,Race Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,< 1 year,0,0,38480,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,1 year,1,0,38087,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,2 years,2,0,39444,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,3 years,3,0,39502,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,4 years,4,0,38482,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,5 years,5,0,38152,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,6 years,6,0,37526,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,7 years,7,0,36967,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,8 years,8,0,36686,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,9 years,9,0,37310,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,10 years,10,0,37523,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,11 years,11,0,36925,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,13 years,13,0,36539,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,14 years,14,0,36017,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,15 years,15,0,36910,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,16 years,16,0,38173,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,18 years,18,0,39196,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,19 years,19,0,38362,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,25 years,25,0,33296,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,53 years,53,0,25002,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,58 years,58,0,19097,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,59 years,59,0,18334,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,60 years,60,0,17469,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,62 years,62,0,15691,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,63 years,63,0,15073,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,65 years,65,0,11855,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,66 years,66,0,11070,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,67 years,67,0,10548,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,68 years,68,0,9345,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,69 years,69,0,8719,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,70 years,70,0,8334,Unreliable
,2010,2010,Female,F,American Indian or Alaska Native,1002-5,71 years,71,0,7627,Unreliable
