Notes,Year,Year Code,State,State Code,Deaths,Population,Crude Rate
,2010,2010,California,6,62,1342297,4.6
,2010,2010,Florida,12,27,1527806,1.8
,2010,2010,Georgia,13,12,1433466,Unreliable
,2010,2010,Hawaii,15,0,19667,Unreliable
,2010,2010,Idaho,16,0,8485,Unreliable
,2010,2010,Iowa,19,0,56443,Unreliable
,2010,2010,Maine,23,0,10867,Unreliable
,2010,2010,Maryland,24,32,830884,3.9
,2010,2010,Michigan,26,15,705709,Unreliable
,2010,2010,Mississippi,28,0,525739,Unreliable
,2010,2010,Missouri,29,15,349641,Unreliable
,2010,2010,Montana,30,0,4144,Unreliable
,2010,2010,Nevada,32,10,129046,Unreliable
,2010,2010,New Hampshire,33,0,10956,Unreliable
,2010,2010,New Jersey,34,13,628463,Unreliable
,2010,2010,New York,36,52,1632834,3.2
,2010,2010,North Carolina,37,13,1010160,Unreliable
,2010,2010,North Dakota,38,0,5927,Unreliable
,2010,2010,Ohio,39,19,721404,Unreliable
,2010,2010,Pennsylvania,42,15,721199,Unreliable
,2010,2010,South Dakota,46,0,7808,Unreliable
,2010,2010,Tennessee,47,14,518155,Unreliable
,2010,2010,Texas,48,24,1524837,1.6
,2010,2010,Vermont,50,0,4595,Unreliable
,2010,2010,Virginia,51,14,784230,Unreliable
,2010,2010,Washington,53,10,165380,Unreliable
,2018,2018,Alabama,1,36,623614,5.8
,2018,2018,Arizona,4,31,212747,14.6
,2018,2018,Arkansas,5,12,233571,Unreliable
,2018,2018,California,6,89,1417457,6.3
,2018,2018,Colorado,8,10,160870,Unreliable
,2018,2018,Connecticut,9,69,219897,31.4
,2018,2018,Delaware,10,33,110099,30
,2018,2018,District of Columbia,11,126,152939,82.4
,2018,2018,Florida,12,136,1803842,7.5
,2018,2018,Georgia,13,67,1638011,4.1
,2018,2018,Idaho,16,0,12318,Unreliable
,2018,2018,Illinois,17,405,914607,44.3
,2018,2018,Indiana,18,65,345396,18.8
,2018,2018,Kentucky,21,31,202059,15.3
,2018,2018,Louisiana,22,46,739485,6.2
,2018,2018,Maryland,24,515,904067,57
,2018,2018,Massachusetts,25,80,326210,24.5
,2018,2018,Michigan,26,269,712715,37.7
,2018,2018,Minnesota,27,41,216168,19
,2018,2018,Missouri,29,194,368653,52.6
,2018,2018,Montana,30,0,5912,Unreliable
,2018,2018,Nevada,32,13,169042,Unreliable
,2018,2018,New Jersey,34,314,668991,46.9
,2018,2018,New York,36,254,1702819,14.9
,2018,2018,North Carolina,37,138,1123641,12.3
,2018,2018,North Dakota,38,0,16733,Unreliable
,2018,2018,Ohio,39,272,784418,34.7
,2018,2018,Pennsylvania,42,241,789381,30.5
,2018,2018,Rhode Island,44,10,49541,Unreliable
,2018,2018,South Carolina,45,65,664556,9.8
,2018,2018,South Dakota,46,0,14538,Unreliable
,2018,2018,Tennessee,47,86,567970,15.1
,2018,2018,Texas,48,51,1844873,2.8
,2018,2018,Utah,49,0,32801,Unreliable
,2018,2018,Virginia,51,150,853436,17.6
,2018,2018,Washington,53,15,214948,Unreliable
,2018,2018,West Virginia,54,31,40619,76.3
,2018,2018,Wisconsin,55,58,210722,27.5
,2018,2018,Wyoming,56,0,5836,Unreliable
